robyn_robyn_0001|Dragon gets by. Shopping.
robyn_robyn_0592|Then she asked, Why is th fish out of the dish?
robyn_robyn_0594|My dear little brat, said Wilma,
robyn_robyn_0595|what makes you think this is your mat?
robyn_robyn_0596|The fat cat smiled.
robyn_robyn_0597|The fat cat got up and stretched, off.
robyn_robyn_0599|Ate the fish, licked the dish, and went back to lie down in the vat.
robyn_robyn_0600|Thank goodness! said the mat.
robyn_robyn_0601|The end.
robyn_robyn_0602|Okay, ready.
robyn_robyn_0603|If you give a mouse a cookie, he's going to ask for a glass of milk.
robyn_robyn_0604|When you give him a milk
robyn_robyn_0605|He'll probably ask for a a straw.
robyn_robyn_0606|When he's finished, he'll ask for a napkin.
robyn_robyn_0607|Then he'll want to look in a mirror
robyn_robyn_0609|When he looks into the mirror,
robyn_robyn_0612|When he's finished giving himself a ss a trim,
robyn_robyn_0613|he'll want a broom to sweep up.
robyn_robyn_0614|He'll start sweeping.
robyn_robyn_0615|He might get carried away and sweep every room in the house.
robyn_robyn_0616|He may even end up washing the floors as well!
robyn_robyn_0617|When he he's done, he'll probably want to take a nap.
robyn_robyn_0618|You'll have to fix up a little box for him
robyn_robyn_0619|with a blanket and a pillow.
robyn_robyn_0620|He'll crawl
robyn_robyn_0621|He'll crawl in make
robyn_robyn_0622|In.
robyn_robyn_0623|make himself comfortable and fluff the pillow a few times.
robyn_robyn_0624|He.
robyn_robyn_0625|He'll probably ask you to read him a story.
robyn_robyn_0626|So you'll read to him from one of your books,
robyn_robyn_0627|and he'll ask to see pictures.
robyn_robyn_0628|When he looks at the pictures, he'll get too so excited he'll want to draw one of his own.
robyn_robyn_0629|He'll ask for paper and some crayons.
robyn_robyn_0630|He'll draw a picture.
robyn_robyn_0631|When the picture is finished, he'll want to sigggn his name
robyn_robyn_0632|with a pen.
robyn_robyn_0633|Then he'll want to hang his picture on your refrigerator. Which means he'll need
robyn_robyn_0634|Scotch tape.
robyn_robyn_0636|Looking at the refrigerator
robyn_robyn_0637|will remind him that
robyn_robyn_0638|he's thirsty. So.
robyn_robyn_0639|he'll ask for a glass of milk.
robyn_robyn_0640|And changes.
robyn_robyn_0641|Chances or are if he asks for a glass of milk,
robyn_robyn_0642|he's going to want a cookie to go with.
robyn_robyn_0643|Finished.
robyn_robyn_0644|Isn't it a beautiful day mum, Christy Tate.
robyn_robyn_0645|Christy Tate asked happily.
robyn_robyn_0646|She gasped out of
robyn_robyn_0647|the car.
robyn_robyn_0648|Window at the blue sky and sunshine.
robyn_robyn_0649|Do you think it will stay like this for all of summer vacation?
robyn_robyn_0650|Mrs. m Tate laughed.
robyn_robyn_0651|Well, let's hope so she said.
robyn_robyn_0654|It was always changing.
robyn_robyn_0655|Christy smiled to herself she and her parents had been to.
robyn_robyn_0657|During the last ss school break.
robyn_robyn_0658|Christy had made a new friend.
robyn_robyn_0659|Er Rachel Walker and
robyn_robyn_0660|two girls know
robyn_robyn_0661|now share
robyn_robyn_0663|A very special secret.
robyn_robyn_0665|And banished them from fairy land.
robyn_robyn_0666|Rachel and Christy had helped the fairy sisters get back home.
robyn_robyn_0667|Could Rachel come and stay with us for a little while mum?
robyn_robyn_0668|Please?
robyn_robyn_0669|Christy asked as they.
robyn_robyn_0670|As they pulled up outside their house.
robyn_robyn_0672|A pretty village in the middle of the cur.
robyn_robyn_0673|Countryside.
robyn_robyn_0674|Christy smiled to herself.
robyn_robyn_0675|She and her parents had been to rain spell Iceland for vacation during the last school break.
robyn_robyn_0676|Christy had made a new friend there.
robyn_robyn_0677|Rachel walker and the two girls no now shared a very special secret.
robyn_robyn_0679|When evil jack frost had put a spell on the seven rainbow fairies.
robyn_robyn_0680|And banished them from fairy land.
robyn_robyn_0681|Rachel and Christy had helped the fairies sisters get back home.
robyn_robyn_0682|Could Rachel come and stay with us for a little while mum, please Christy asked.
robyn_robyn_0683|As they at as they pulled up outside their house the Tates lived in Weatherbury.
robyn_robyn_0684|A pretty village in the middle of the countryside.
robyn_robyn_0685|that's a real lee good idea mrs. tate agreed.
robyn_robyn_0686|Now let's take this stuff inside okay said m Christy.
robyn_robyn_0687|Climbing out of the car where's dad.
robyn_robyn_0688|Just then a voice called out from the distance, hello, I'm ee up here.
robyn_robyn_0689|Christy glanced up shading her eyes against the sun.
robyn_robyn_0690|To the left of the house was an old wooden barn.
robyn_robyn_0691|Mrs. tate Mr. tate was standing at the top of a ladder next to the barn holding a hammer.
robyn_robyn_0692|I'm just repairing the barn roof.
robyn_robyn_0693|He explained it's been licky.
robyn_robyn_0694|Oh dear said Mrs. Tate, opening the car truck.
robyn_robyn_0695|She handed two sh shopping bags to Christy.
robyn_robyn_0697|We.
robyn_robyn_0698|Really have to do something about that barn it's falling down I like it.
robyn_robyn_0700|Sudden.
robyn_robyn_0701|Suddenly she jumped.
robyn_robyn_0703|Oh no she exclaimed.
robyn_robyn_0704|I think it's star it's raining then she started as the white flakes that had landed on her pink shirt.
robyn_robyn_0705|It's not raining she gasped it's snow.
robyn_robyn_0706|Snow? Mrs. Tate looked shocked.
robyn_robyn_0707|A in summer? It can't be!
robyn_robyn_0708|But it was snowing.
robyn_robyn_0709|In a flash the sky had turned gray and snow flakes were fff floating .
robyn_robyn_0710|Quick Christy, let's get inside, called Mrs. Tate grabbing the rest of the shopping bags.
robyn_robyn_0711|And closing the truck of the car.
robyn_robyn_0712|Mrs. Tate ha Mr. Tate was already climbing down from the ladder.
robyn_robyn_0713|They all rushed inside as the snow swirled around them.
robyn_robyn_0715|Froning.
robyn_robyn_0716|I wonder how long it will last.
robyn_robyn_0717|Christy granced out of the kitchen window.
robyn_robyn_0718|Mum dad! The snow stopped already, she cried.
robyn_robyn_0719|Mr. and Mrs. Tate joined Christy at the window.
robyn_robyn_0720|The sun was shining and the sky was blue.
robyn_robyn_0721|A few puddles of water, were all that, that remind of the su sudden snowstorm
robyn_robyn_0722|Well said Mrs. tate
robyn_robyn_0723|How strange it was almost like magic
robyn_robyn_0724|Christy hurt began to pound
robyn_robyn_0725|Christy's heart began to pound.
robyn_robyn_0726|Could there be magic in the air?
robyn_robyn_0727|But why?
robyn_robyn_0728|She and Rachel had found, of the all of the rainbow fairies.
robyn_robyn_0729|And jack frost had promised not to harm them again
robyn_robyn_0730|everything was fine in fairy land, now was
robyn_robyn_0731|now
robyn_robyn_0732|wasn't it?
robyn_robyn_0733|Now, wasn't it?
robyn_robyn_0734|You'd better go and change out of that wet shirt Christy said.
robyn_robyn_0735|Her mum.
robyn_robyn_0736|Christy turned away from the window.
robyn_robyn_0738|As she did, she spotted something on the kitchen table.
robyn_robyn_0739|It was a rusty old metal with weather vane in the shape of a rooster
robyn_robyn_0740|What's that he asked she asked.
robyn_robyn_0741|I found it in the park this morning
robyn_robyn_0742|Her father.
robyn_robyn_0743|Said it will look great on top of the barn, once I'm done fixing the roof.
robyn_robyn_0744|Christy reached a hand toward the weather vane.
robyn_robyn_0745|As she did the m, metal glowed and glittered sparkle ss and danced toward her fingers.
robyn_robyn_0746|Christy blinked in surprise.
robyn_robyn_0747|When she looked again, the sparkles had vanished.
robyn_robyn_0748|All she could see was rusty metal.
robyn_robyn_0749|Confused Christy ran upstairs.
robyn_robyn_0750|To change, ha.
robyn_robyn_0751|To change.
robyn_robyn_0752|Had she imagined the sparkles?
robyn_robyn_0753|Maybe.
robyn_robyn_0754|Sh then the snow was real though, she was sure of that.
robyn_robyn_0757|There on a shelf above her bed was the snow globe.
robyn_robyn_0758|The fairies has given her.
robyn_robyn_0759|It was a very special thank you gift for helping the fairies.
robyn_robyn_0760|Rachel had one too.
robyn_robyn_0761|It was filled with glittering fairy dust, in all the colours of the rainbow.
robyn_robyn_0762|When sh the snow globe was shaken up the dust swirl and sparkle inside.
robyn_robyn_0764|He lived in a little village, in a house which had only one room.
robyn_robyn_0765|The farmer was not happy.
robyn_robyn_0766|Nothing ever happens, he said.
robyn_robyn_0767|The people in the village thought the farmer was foolish.
robyn_robyn_0768|We have everything we need they said.
robyn_robyn_0769|We have a school, and a market, and a church with an old bell that rings on Sundays.
robyn_robyn_0770|Our village is the best there is.
robyn_robyn_0771|But nothing ever happens, said the farmer.
robyn_robyn_0772|Every morning, when the farmer woke up, the first thing he saw was the roof of his little house.
robyn_robyn_0773|Every morning for breakfast he ate two flat cakes of ground corn.
robyn_robyn_0774|His wife had made them the night before.
robyn_robyn_0775|He put honey over the cakes, and drank cinnamon tea fro from a clay mug.
robyn_robyn_0776|Nothin ever happens, he said.
robyn_robyn_0777|It was still dark.
robyn_robyn_0778|For the field.
robyn_robyn_0779|It was still dark and the farmer got ready to leave the field.
robyn_robyn_0781|Perhaps today said his wife something will happen.
robyn_robyn_0782|No, said the farmer.
robyn_robyn_0783|Nothing will.
robyn_robyn_0784|The farmer led his oaks away and did not look back.
robyn_robyn_0785|At night the farmer returned.
robyn_robyn_0786|He fed his ox.
robyn_robyn_0787|Then he sat down by the fire.
robyn_robyn_0788|Pablo played with five smooth stones.
robyn_robyn_0789|He threw the stones at a hole he had dug in the earth.
robyn_robyn_0790|See, Papa! said Pablo. I got one one in!
robyn_robyn_0791|But the farmer was tired. He did not answer.
robyn_robyn_0792|Every day was the same.
robyn_robyn_0793|One morning the farmer wore.
robyn_robyn_0794|One morning the farmer w worked woke up very early. He pulled on his woolen shirt.
robyn_robyn_0795|He took his big hat from a peg on the wall.
robyn_robyn_0796|I must go to the field early, he said. The.
robyn_robyn_0797|The plowing is not done.
robyn_robyn_0798|Soon it will be time to plant the corn.
robyn_robyn_0799|All morning the farmer worked in his field.
robyn_robyn_0800|The ox t helped him.
robyn_robyn_0801|When there was a big rock in the way, the ox stopped and lay down.
robyn_robyn_0802|The farmer pushed the rock away.
robyn_robyn_0803|Said the farmer.
robyn_robyn_0804|The ox k looked at the farmer.
robyn_robyn_0806|Late in the morning, when the su sun was high Pablo came to the field.
robyn_robyn_0807|Pablo said Pablo said the farmer. Why are you not in school?
robyn_robyn_0809|To help you plow.
robyn_robyn_0810|The farmer smiled.
robyn_robyn_0811|He reached into his pocket, and gay and gave the boy a small wooden toy.
robyn_robyn_0812|A bull! cried Pablo.
robyn_robyn_0813|The farmer had made it for his ss son during the hot time of the day when he rested from his work.
robyn_robyn_0814|Pablo helped the farmer plow the field.
robyn_robyn_0815|The ox pulled, and the plow turned up the soil.
robyn_robyn_0816|Suddenly the plow stopped.
robyn_robyn_0817|The farmer and his son pushed and and the ox pulled.
robyn_robyn_0818|But the plow his plow did not move.
robyn_robyn_0819|It sank into the earl earth.
robyn_robyn_0820|It went down, down down, into a little hole.
robyn_robyn_0821|The little hole became a bigger hole.
robyn_robyn_0822|There was a noise deep under the ground.
robyn_robyn_0823|As if something big
robyn_robyn_0824|had growled farmer.
robyn_robyn_0825|Looked, Pablo looked.
robyn_robyn_0826|The ox turned its head.
robyn_robyn_0827|Wet smoke came from the hole in the ground.
robyn_robyn_0828|Run! said the farmer. Run!
robyn_robyn_0829|There was a loud crack and the earth opened wide.
robyn_robyn_0830|The farmer ran
robyn_robyn_0831|Pablo ran and the ox ran too.
robyn_robyn_0832|Fire and smoke came from.
robyn_robyn_0833|The farmer ran all the way to the village.
robyn_robyn_0834|He ran inside the church and ra rang the old bell.
robyn_robyn_0835|The other farmer.
robyn_robyn_0836|The other farmers came from their fields.
robyn_robyn_0839|Look there!
robyn_robyn_0840|That night no one slept.
robyn_robyn_0841|Everyone watched the fire in the sky.
robyn_robyn_0842|It came from.
robyn_robyn_0843|From where the farmer's field had been.
robyn_robyn_0844|There was a loud boom, and another.
robyn_robyn_0846|Over the ground.
robyn_robyn_0847|Through the trees it came toward the farmer's house.
robyn_robyn_0848|It came toward the village pieces of the burning burning stone flew in the air.
robyn_robyn_0849|The earth was
robyn_robyn_0850|The earth was coughing. Every time in.
robyn_robyn_0851|A, a time it coughed.
robyn_robyn_0852|The fire grew bigger.
robyn_robyn_0853|In a few days the hill was a big as a mountain and every few minutes, there was a loud boom.
robyn_robyn_0854|Squirrels and rabbits ran.
robyn_robyn_0855|ran and birds flew away from the fire.
robyn_robyn_0856|People led their b burros
robyn_robyn_0857|and they their oxes to safety.
robyn_robyn_0858|Pieces of burning ash flew everywhere.
robyn_robyn_0859|The farmer and his neighbors
robyn_robyn_0860|put wet clothes over their noses
robyn_robyn_0861|to keep out the smoke.
robyn_robyn_0862|Some of the people went close to steaming lava.
robyn_robyn_0864|They prayed for the fire to stop.
robyn_robyn_0865|Of a hill.
robyn_robyn_0866|When the booming stopped and the fire fires grew smaller, the farmer's house was gone.
robyn_robyn_0867|The school was gone the market was gone.
robyn_robyn_0868|Half of half the village was gone.
robyn_robyn_0869|One day some one.
robyn_robyn_0870|In uniform came in cars and trucks.
robyn_robyn_0872|They laughed. You are lucky to be alive amigo.
robyn_robyn_0874|Everyone must go! the the capitan said.
robyn_robyn_0875|It is not safe to live here
robyn_robyn_0876|The farmer and his wife and Pablo and all the people of the village went with the soldiers.
robyn_robyn_0877|They rode away in trucks.
robyn_robyn_0879|round a new house.
robyn_robyn_0880|It was bigger than the one they lived in before.
robyn_robyn_0881|It was not the far from the old one. But it was far enough away to be the safe from El Monstruo.
robyn_robyn_0882|which means The Monster.
robyn_robyn_0883|That is the name the people gave
robyn_robyn_0884|to the great volcano.
robyn_robyn_0885|The people made a new village.
robyn_robyn_0887|They had great fiesta because now they were safe.
robyn_robyn_0888|At the fiesta the band played, and the people danced and clapped their hands.
robyn_robyn_0889|People from the city came in a bus to see El Monstruo.
robyn_robyn_0891|Now the farmer had a new field.
robyn_robyn_0892|Every morning.
robyn_robyn_0893|Every morning he woke up early. It was still dark, and El Monstruo glowed in the sky. Every morning for breakfast he ate two flat cakes of ground corn.
robyn_robyn_0895|Farmer went to his new field his ox went with him, just a bi as before.
robyn_robyn_0896|Sometimes Pablo brought the children of the village to see the farmer.
robyn_robyn_0897|From the field they could see the volcano smoking, like an old man smoking the his pipe.
robyn_robyn_0899|No, my friends, no no said the farmer.
robyn_robyn_0900|He laughed. One hill of fire is enough for me.
robyn_robyn_0901|The end.
robyn_robyn_0902|Once upon a time, there was a yellow cat with black spots in his fur.
robyn_robyn_0903|His name was Pickles.
robyn_robyn_0904|Pickles was a young cat.
robyn_robyn_0906|But where could Pickles find anything big to do?
robyn_robyn_0907|Pickles lived in a barrel. In a barrel.
robyn_robyn_0908|The barrel was all that he had for a home.
robyn_robyn_0909|Pickles' barrel was in an old yard where there was nothing big to do.
robyn_robyn_0910|So what did Pickle do?
robyn_robyn_0912|He ran after every little cat that came into the yard and he chased and he chased the little cat out of the yard.
robyn_robyn_0913|Yard.
robyn_robyn_0914|This was a bad, bad thing.
robyn_robyn_0915|This was a bad, bad thing, but it was all that Pickles could find to do.
robyn_robyn_0917|In the house lived many cats who called out to Pickles, You are bad.
robyn_robyn_0918|You cannot be our friend.
robyn_robyn_0919|But Pickles did have a friend in the house.
robyn_robyn_0920|His friend was Mrs. Goodkind.
robyn_robyn_0921|Every day Mrs. Goodkind came into the yard and gave Pickles something to eat.
robyn_robyn_0922|One day Mrs. Goodkind said Pickles, you are not a bad cat. You are not a good cat. You are.
robyn_robyn_0923|Good and bad. And bad and good.
robyn_robyn_0924|You are a mixed-up cat.
robyn_robyn_0925|What you need is a good home. Then you will be good.
robyn_robyn_0926|Mrs. Goodkind picked up the mixed-up cat.
robyn_robyn_0927|She took him into her home to live.
robyn_robyn_0928|In Mrs. Goodkind's home there was a pretty chair for Pickles to sit on.
robyn_robyn_0929|There were toys for him to play with.
robyn_robyn_0930|But Pickles did not want to sit on a pretty chair. He did not want to play with toys. He So he ran back to his barrel in the yard. And he began to chase the little cat.
robyn_robyn_0931|He began to chase the little cats again.
robyn_robyn_0932|Mrs. Goodkind said to Pickles, things cannot go on like this. Something will happen.
robyn_robyn_0933|The next day Pickles chased a little cat up an an up an old tree. He climbed after her.
robyn_robyn_0934|Pickles sat up in the tree near the little cat.
robyn_robyn_0935|He would not let her climb down.
robyn_robyn_0936|After a time, the wind.
robyn_robyn_0937|After a time, the wind began to blow.
robyn_robyn_0939|And the rain came down.
robyn_robyn_0940|Harder and harder and harder. It came down har.
robyn_robyn_0941|At last Pickles let the little cat climb down and go home.
robyn_robyn_0942|Pickles want to wanted to climb down, too.
robyn_robyn_0943|He wanted to get back into his barrel.
robyn_robyn_0944|But he could not climb down.
robyn_robyn_0945|Sometimes this happens to a cat. And it happened to Pickles.
robyn_robyn_0946|Mrs. Goodkind Goodkind ran to the tree.
robyn_robyn_0947|Pickles! she called. Please try to climb down.
robyn_robyn_0948|But Pickles could not climb down.
robyn_robyn_0949|Mrs. Goodkind ran into her house. Pickles could not see her by the window.
robyn_robyn_0951|Then she called out to Pickles, the firemen are coming!
robyn_robyn_0953|and stopped at Pickles' yard.
robyn_robyn_0954|Three firemen jumped down from the truck.
robyn_robyn_0956|She ran to the firemen.
robyn_robyn_0958|The firemen put a ladder against the tree.
robyn_robyn_0959|One of the firemen began to climb up the ladder.
robyn_robyn_0960|The fireman climbed to the top of the ladder.
robyn_robyn_0961|Come cat, he said he.
robyn_robyn_0962|Come cat, he said to Pickles. Let me help you.
robyn_robyn_0963|The fireman picked up Pickles and took him into his coat.
robyn_robyn_0964|Then he took Pickles down the ladder, down mi to Mrs. Goodkind.
robyn_robyn_0965|Mrs. Goodkind, said the fireman, is this your cat?
robyn_robyn_0966|No, Joe, said Mrs. Goodkind. Pickles has no home, and he does not want to live with me.
robyn_robyn_0967|Why? Asked Joe.
robyn_robyn_0968|Mrs. Goodkind answered, My home is too little for Pickles.
robyn_robyn_0970|Look at his big paws.
robyn_robyn_0971|Pickles put out a paw for Joe to see.
robyn_robyn_0972|My goodness, Pickles, said Joe.
robyn_robyn_0973|What big paws you have!
robyn_robyn_0974|Pickles looked at Joe.
robyn_robyn_0975|and said the one word he could say:
robyn_robyn_0976|And Joe could see that Pickles want something very much.
robyn_robyn_0977|Joe gave Pickles a pat.
robyn_robyn_0978|Pickles, he said. I will take you to our firehouse. Maybe your sh our Chief will let us let you stay.
robyn_robyn_0979|The Fire Cat.
robyn_robyn_0980|The Fire Cat.
robyn_robyn_0981|Joe took Pickles to the Chief, who was sitting at his desk.
robyn_robyn_0982|Oh! said the Chief. I know this young cat.
robyn_robyn_0983|He is the one a who chases little cats.
robyn_robyn_0984|How do you know? asked Joe.
robyn_robyn_0985|The Chief answered, A Fire Chief knows many things.
robyn_robyn_0986|Just then the telephone began to ring.
robyn_robyn_0989|Well, we shall see. Thank you, Mrs. Goodkind. Good-bye.
robyn_robyn_0990|The Chief looked at Pickles and said, Mrs. Goodkind says you are not a bad cat. And Joe likes you.
robyn_robyn_0991|I will let you live here if you will learn to be a good firehouse cat.
robyn_robyn_0992|Pickles wa Pickles walked quietly up the stairs after Joe.
robyn_robyn_0993|Joe and Pickles went into a room where the firemen lived.
robyn_robyn_0995|They wanted to play with Pickles.
robyn_robyn_0996|But suddenly the fire bell rang. All the firemen ran to the big a big pole and down they wa went.
robyn_robyn_0997|The pole was the fast way to get to their trucks.
robyn_robyn_0998|Pickles could hear the trucks start up and rush off the fire.
robyn_robyn_0999|Pickles said to himself, I must learn to do what the firemen do.
robyn_robyn_1000|I must learn to slide down the pole.
robyn_robyn_1001|He jumped and put his paws around the pole.
robyn_robyn_1002|Down the down he fell with a bump.
robyn_robyn_1003|Bumps or no bumps, I must try again said Pickles.
robyn_robyn_1004|Up the stairs he ran.
robyn_robyn_1005|Down the pole he came and bumped, he tried again.
robyn_robyn_1006|And bumped.
robyn_robyn_1008|What a wonderful cat you are! said the firemen.
robyn_robyn_1009|The Chief did not say anything.
robyn_robyn_1010|Pickles said to himself, I must keep on learning everything I can.
robyn_robyn_1011|So he learned to jump up one on one of the big trucks.
robyn_robyn_1012|And he learned to sit up straight to on the seat while the truck raced to a fire.
robyn_robyn_1013|What a wonderful cat you are said the firemen.
robyn_robyn_1014|The Chief did not say anything.
robyn_robyn_1016|At the next fire, he jumped down from the truck.
robyn_robyn_1017|He ran to a big ha.
robyn_robyn_1018|Whose.
robyn_robyn_1019|put his paws around it, and tried to help a fireman
robyn_robyn_1020|shoot the water at the flames.
robyn_robyn_1021|He ran to a big whose, put his paws around it, and tried to help a fireman
robyn_robyn_1022|shoot the water at the flames.
robyn_robyn_1023|What a wonderful cat you are! said the firemen.
robyn_robyn_1024|The Chief did not say anything.
robyn_robyn_1025|The Chief called all the firemen to his desk.
robyn_robyn_1026|Then he called for Pickles.
robyn_robyn_1027|Pickles did not know what was going to happen.
robyn_robyn_1028|He said to himself, Maybe the Chief does not like the way I work.
robyn_robyn_1029|Maybe he wants to send me back to my old yard.
robyn_robyn_1030|But Pickles went to the Chief.
robyn_robyn_1031|At the Chief's desk stood all the firemen - and Mrs. Goodkind!
robyn_robyn_1033|Pickles jumped up on my desk.
robyn_robyn_1034|I have something to say to you, Pickles jump
robyn_robyn_1035|To you pickles jump on the desk and looked at the Chief. Out of the desk the Chief took
robyn_robyn_1036|A hat a little fire hat!
robyn_robyn_1037|Pickles, said the Chief, he have watched you are at your work.
robyn_robyn_1038|I have watched you at your work.
robyn_robyn_1039|You have worked hard.
robyn_robyn_1040|The time has come come for you to know that you are now our Fire Cat.
robyn_robyn_1041|And with these words, the Chief put the little a hat on Pickles' head.
robyn_robyn_1042|The Old Tree.
robyn_robyn_1043|Pickles made friends, with all the firemen. But the he did not make friends with any cats. When
robyn_robyn_1044|When cats came to the firehouse to look at the trucks, people, Pickles chased them away.
robyn_robyn_1045|The Chief called Pickles Pickles to him and said A Fire Cat must be kind to everyone.
robyn_robyn_1046|You must be good to other cats.
robyn_robyn_1047|Little by little, Pickles learned to be good to the cats he met me he met.
robyn_robyn_1048|He, to be good to the cats he met.
robyn_robyn_1049|He made friends with then them too.
robyn_robyn_1050|Then all the cats loved to come to the firehouse.
robyn_robyn_1051|On rainy days, on rainy days, most cats stayed at home, and Pickles sat upstairs with the firemen.
robyn_robyn_1052|One rainy day, as he sat there, he thought to himself How bad I was.
robyn_robyn_1053|One cold morning, Dragon went out to find the perfect Christmas tree.
robyn_robyn_1054|He walked through the crunchy snow.
robyn_robyn_1055|He saw all sorts of trees.
robyn_robyn_1056|Crude ones, and straight ones.
robyn_robyn_1057|Finally, he found the most beautiful Christmas tree of all.
robyn_robyn_1058|It was not too big, or too small.
robyn_robyn_1059|It was not too crude, or too straight.
robyn_robyn_1060|It was just right.
robyn_robyn_1061|Dragon looked down and ss saw the tree's beautiful
robyn_robyn_1062|brown trunk.
robyn_robyn_1063|It stood firm and strong in the frozen earth.
robyn_robyn_1064|He looked up and saw its beautiful green branches.
robyn_robyn_1065|They waved back and forth in the cold December, wind.
robyn_robyn_1066|Dragon could not cut down ss such a lovely tree.
robyn_robyn_1067|Instead he came back with colored lights, silver bell and everything he needed to make his tree even more beautiful.
robyn_robyn_1068|That night dra, that night Dragon looked out at his Christmas tree shining in the night. It was truly perfect.
robyn_robyn_1069|The candy reth.
robyn_robyn_1070|One day in December Dragon had a good idea.
robyn_robyn_1071|I will make a reth out of candy, he said.
robyn_robyn_1072|Dragon took some old wire and bent it into shape.
robyn_robyn_1073|Then he taped little pieces of chocolate candy and all around it.
robyn_robyn_1074|When Dragon hung his candy reth one on the wall, the, one of the pieces of chocolate fell off.
robyn_robyn_1075|Dragon picked it up and ate it.
robyn_robyn_1076|It was very good.
robyn_robyn_1077|Dragon did not want his reth to look bare, so he promised not to eat any more candy.
robyn_robyn_1078|I will eat only the pieces that fall off,
robyn_robyn_1079|ss he said.
robyn_robyn_1080|Dragon bumped his elbow against the wall
robyn_robyn_1081|and two more pieces of candy tell.
robyn_robyn_1082|Dragon sat down in his chair and looked
robyn_robyn_1083|up at his candy reth.
robyn_robyn_1084|He tried not to think about the smooth, rich, sweet creamy, dark chocolate candy.
robyn_robyn_1085|Dragon could not sit still.
robyn_robyn_1086|He began to drool.
robyn_robyn_1087|Suddenly, Dragon could not stop himself.
robyn_robyn_1090|Dragon got a tummy ache from eating so much chocolate.
robyn_robyn_1091|Next year, said Dragon, I will make my reth out of pin pine cones.
robyn_robyn_1092|Dragon was always losing his mittens.
robyn_robyn_1093|No matter how hard he tried, he could never keep track of them.
robyn_robyn_1094|Whenever he needed them most, they were nowhere to be found.
robyn_robyn_1095|So Dragon went and bought out and bought a pair of clip on mittens.
robyn_robyn_1096|He clipped them to his coat sleeves, he he c would never lose his mittens again.
robyn_robyn_1097|Merry Christmas dar Dragon.
robyn_robyn_1098|Dragon loved Christmas.
robyn_robyn_1099|Every year he saved his money, and every Christmas he bought wonderful presents for himself.
robyn_robyn_1100|Dragon made a list of things he would buy.
robyn_robyn_1101|Lots of food, a new coat, a big birdhouse.
robyn_robyn_1103|Then Dragon finished his Christmas shopping
robyn_robyn_1104|the store clerk loaded everything into a big sack.
robyn_robyn_1105|On his way home, Dragon passed some raccoons singing in the street.
robyn_robyn_1106|The raccoons had no food to eat.
robyn_robyn_1107|they looked very hungry.
robyn_robyn_1108|Dragon reached into his sack.
robyn_robyn_1109|Out his big basket of food.
robyn_robyn_1110|Merry Christmas, said Dragon.
robyn_robyn_1111|Then he passed an old reehun shoveling her sidewalk.
robyn_robyn_1112|The reehun did not have a coat to wear.
robyn_robyn_1113|She looked very cold.
robyn_robyn_1114|Dragon reached into his sack and took out his new wool overcoat.
robyn_robyn_1115|Merry Christmas, said Dragon.
robyn_robyn_1116|Finally, Dragon saw two little birds si sitting on a branch.
robyn_robyn_1117|The birds did not have a home to live in.
robyn_robyn_1118|They looked very sad.
robyn_robyn_1119|Dragon opened his big sack took out his birdhouse, and hung it on branch.
robyn_robyn_1120|Merry Christmas, said Dragon.
robyn_robyn_1121|When Dragon got home, his big sack was empty.
robyn_robyn_1122|There were no presents left for him.
robyn_robyn_1123|But Dragon did not feel sad.
robyn_robyn_1124|He went upstairs to his quiet room and crawled beneath his soft warm quilt.
robyn_robyn_1125|And later as he slept, Dragon dreamed he heard angels singing in the stairy night.
robyn_robyn_1126|But I was wrong. I think we need three microscopes for this family.
robyn_robyn_1127|How bad I was when I chased the other cats.
robyn_robyn_1128|Once I chased a little cat up a tree. Oh, me! Oh, my!
robyn_robyn_1129|Up a tree oh, me! Oh, my!
robyn_robyn_1130|We didn't a, why did I do that?
robyn_robyn_1131|Suddenly Pickles heard the Chief call out, Cat in a tree!
robyn_robyn_1133|Pickles slid down after them.
robyn_robyn_1134|He heard the Chief say The tree is in the old yard next to Mrs. Goodkind's house.
robyn_robyn_1135|Oh, thought Pickles. That's the yard where I lived. And that's the tree.
robyn_robyn_1136|The that's the tree Pickles jumped, Pickles jumped up an, on the truck with the three firemen.
robyn_robyn_1137|Away they rode to the yard. And he, and there there, in the wind and the rain, stood Mrs. Goodkind, pointing to a very little cat.
robyn_robyn_1138|The firemen put the firemen put a ladder against the tree. The ladder scared the little cat, and she ran to ha a high branch,
robyn_robyn_1139|where a fireman could not go. Joe said to Mrs. Goodkind, I don't know what to do. But Pickles knew knew.
robyn_robyn_1140|He began to climb the ladder.
robyn_robyn_1141|Pickles climbed up and up and up.
robyn_robyn_1142|It was hard work. But at last he came to the top of the ladder.
robyn_robyn_1143|Then he climbed up the tree until he came to the tree to the little cat.
robyn_robyn_1145|He picked her up and took her gently down to Mrs. Good.
robyn_robyn_1146|Mrs. Goodkind thanked Pickles.
robyn_robyn_1147|Then he sh then she said to him, I always knew that some day you would do a big things.
robyn_robyn_1148|I always knew that someday you would do big things.
robyn_robyn_1149|Today you have done something very big.
robyn_robyn_1150|Pickles waved a paw at her.
robyn_robyn_1151|As if to stay, Mrs. Goodkind.
robyn_robyn_1152|Mrs. Goodkind, as, as if to stay, Mrs. Goodkind, this is only a beginning.
robyn_robyn_1153|And he rode home to the firehouse a proud and happy cat.
robyn_robyn_1154|The end.
